Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
It was do my point of that be.,So it was done my point of all that was.,It was done to my point of that is.,51.21531366405513,0.91359794,It was done to my point of that was.,It was done with my point of that being.,68.56054107467511
But none ours go killers ends its life.,But none of ours go to the killers at the end of their life.,But none of ours goes to the killer to end its life.,58.28919035684043,0.9352503,But none of ours goes to a killer to end his life.,But none of ours goes to the killer and ends up with a life.,66.78629232516599
Of defeats purpose of getting morning.,Kind of defeats the purpose of getting up in the morning.,Of defeats the purpose of getting to the morning.,76.38368221370561,0.9395045,Of defeats the purpose of getting up early.,Of defeating the purpose of getting up at the morning.,69.82366863340323
But we uh we have ones.,But we uh we had this one.,But we uh we have one.,58.86822499293578,0.88580436,But we uh we have the ones.,But we uh we have a few.,68.05462471324736
Times i go out there they be.,By the time i went out there again they were still.,The times i go out there they are.,33.24425646683737,0.7395851,Every time i go out there they are.,How often i go out there they are.,69.41201913976923
So it just goes the trash this.,So it just goes in the trash like this.,So it just goes to the trash here.,55.80181231551108,0.93716633,So it just goes to the trash here.,So it just goes in the trash like this.,69.3285660663576
Now way do it be all bent.,Now the traditional way to do it is not all bent over.,Now how does it be all bent.,20.435408833415085,0.69610894,Now the way do you do it is all bent.,Now how does it be all bent.,54.94350996067244
But i do miss lot thing about a city.,But i do miss a lot of things about a city.,But i do miss a lot about a city.,68.74816094778834,0.98104453,But i do miss a lot of things about a city.,But i do miss a lot of the stuff about a city.,69.70563561694264
Certain areas of hold their values.,Certain areas s of held their value.,Certain areas hold their values.,71.84379217096422,0.9498866,Certain areas of hold their values.,Certain areas of the country hold up their values.,65.24941977869065
And this is kind of you go by.,And that is kind of where you go by to.,And this is kind of the way you go by.,48.7203440063256,0.92449725,And this is the kind of you go by.,And this is the kind of thing you go by.,68.69511288051388
I be all night night i come and told you.,I was home all night last night i came home and told you.,I was all night night i came and told you.,63.09889623641299,0.8924259,I was all night all night when i came and told you.,I was all night all night when i came to tell you.,65.54185656841008
I mean i think these are.,I mean i really think those are the.,I mean i think these are really good.,53.91842327829853,0.8528342,I mean i think these are really awesome.,I mean i think these are not too bad.,68.2237118380509
It is one long go flus things.,It is just one of these long going flu things.,It is one long go through the flu.,30.127571608500165,0.93369144,It is one long way from the flu.,It is one long go flus things.,53.18877433938337
